ID,Name,Surname,Birthday,Email,Notifications,Interests,WishList,FriendList
1,Yagmur Basak,Bayraktar,12/17/1994,smarota1861@gmail.com,On,"Dancing, Reading, Cooking, Ballet, Writing","3,5,11,17"," 5, 6, 2, 3"
2,Murat,Bayraktar,9/7/1995,smarota1861@gmail.com,Off,"Basketball, Football, Electronics","3,5",1
3,Jane,Doe,1/1/2000,smarota1861@gmail.com,On,"Hiking, Climbing, Bungee Jumping",5,4
4,John,Doe,2/2/1999,smarota1861@gmail.com,Off,"Painting, Sculpting, Art","2, 3","3, 5"
5,David,Beckham,10/30/2012,smarota1861@gmail.com,On,"Cookie Art, Puzzles, Pets","1, 4, 2","1, 3"
6,Albert,Einstein,2/5/2004,smarota1861@gmail.com,Off,"Zodiac Signs, Fitness",,4
7,Taylor,Swift,5/28/1957,smarota1861@gmail.com,On,"Weaving, DIY, Painting",6,
8,Bruce,Wayne,10/10/2010,smarota1861@gmail.com,Off,Technology,,
9,Tinker,Bell,4/4/2000,smarota1861@gmail.com,On,Spellcasting,"8, 1, 4, 9, 10",5
10,Jon,Snow,12/31/1992,smarota1861@gmail.com,Off,,"6, 9,10",
11,Hannah,Montana,5/5/1995,smarota1861@gmail.com,On,"Singing, Dancing",,
12,Barney,Stinson,8/25/1972,smarota1861@gmail.com,Off,"Women, suits",14,1
13,Michael Gary,Scott,5/5/1965,smarota1861@gmail.com,On,"Spy Novels, Improvisation, Sales",,
